year,city,total_population,migration_population,ratio
2008,兰州(6201),1255818,261854,20.85
2009,兰州(6201),1385301,307036,22.16
2010,兰州(6201),1444847,312365,21.62
2011,兰州(6201),1496677,317672,21.23
2012,兰州(6201),1526285,316732,20.75
2013,兰州(6201),1577803,322040,20.41
2014,兰州(6201),1621619,325016,20.04
2015,兰州(6201),1576081,309995,19.67
2016,兰州(6201),1555901,300206,19.29
2017,兰州(6201),1541799,291211,18.89
2018,兰州(6201),1517040,281719,18.57
2019,兰州(6201),1479949,270198,18.26
2020,兰州(6201),2347717,420377,17.91
2000,内江(5110),121523,1848,1.52
2001,内江(5110),116935,1884,1.61
2002,内江(5110),113287,1897,1.67
2003,内江(5110),111228,1996,1.79
2004,内江(5110),109512,2044,1.87
2005,内江(5110),110310,2133,1.93
2006,内江(5110),118000,2504,2.12
2007,内江(5110),124668,2621,2.1
2008,内江(5110),132140,2972,2.25
2009,内江(5110),138875,3253,2.34
2010,内江(5110),141898,3729,2.63
2011,内江(5110),147860,3868,2.62
2012,内江(5110),151606,3909,2.58
2013,内江(5110),157401,4240,2.69
2014,内江(5110),162798,4460,2.74
2015,内江(5110),159018,4448,2.8
2016,内江(5110),157601,4460,2.83
2017,内江(5110),157120,4545,2.89
2018,内江(5110),155309,4573,2.94
2019,内江(5110),152228,4569,3.0
2020,内江(5110),242547,7442,3.07
2000,包头(1502),707148,102122,14.44
2001,包头(1502),756373,122227,16.16
2002,包头(1502),807474,144701,17.92
2003,包头(1502),859734,168980,19.65
2004,包头(1502),913663,195174,21.36
2005,包头(1502),986001,227018,23.02
2006,包头(1502),1118542,274929,24.58
2007,包头(1502),1255000,326523,26.02
2008,包头(1502),1396490,382945,27.42
2009,包头(1502),1541505,442848,28.73
2010,包头(1502),1646618,493876,29.99
2011,包头(1502),1712328,512651,29.94
2012,包头(1502),1756158,524988,29.89
2013,包头(1502),1821453,543538,29.84
2014,包头(1502),1879289,559511,29.77
2015,包头(1502),1833132,544773,29.72
2016,包头(1502),1816559,538622,29.65
2017,包头(1502),1807276,534452,29.57
2018,包头(1502),1783427,526284,29.51
2019,包头(1502),1744937,513884,29.45
2020,包头(1502),2777847,816416,29.39
2000,北京(1100),5883979,1123468,19.09
2001,北京(1100),7092798,1656470,23.35
2002,北京(1100),8298596,2254207,27.16
2003,北京(1100),9552652,2949735,30.88
2004,北京(1100),10854261,3729123,34.36
2005,北京(1100),12401422,4644115,37.45
2006,北京(1100),14711427,5872463,39.92
2007,北京(1100),17093742,7161928,41.9
2008,北京(1100),19430024,8396596,43.21
2009,北京(1100),21894175,9751672,44.54
2010,北京(1100),23667522,10755540,45.44
2011,北京(1100),24019545,10581625,44.05
2012,北京(1100),24154384,10365991,42.92
2013,北京(1100),24657542,10343453,41.95
2014,北京(1100),25081437,10299758,41.07
2015,北京(1100),24353250,9922097,40.74
2016,北京(1100),24102277,9788160,40.61
2017,北京(1100),24011404,9755662,40.63
2018,北京(1100),23736031,9655675,40.68
2019,北京(1100),23255315,9467015,40.71
2020,北京(1100),37060081,15092242,40.72
2000,北海(4505),179878,10912,6.07
2001,北海(4505),178240,11568,6.49
2002,北海(4505),177669,12285,6.91
2003,北海(4505),177746,13009,7.32
2004,北海(4505),178987,13751,7.68
2005,北海(4505),183891,14846,8.07
2006,北海(4505),199810,17031,8.52
2007,北海(4505),215321,19072,8.86
2008,北海(4505),230909,21402,9.27
2009,北海(4505),246294,23577,9.57
2010,北海(4505),256266,26525,10.35
2011,北海(4505),266575,27306,10.24
2012,北海(4505),273214,27604,10.1
2013,北海(4505),283082,28287,9.99
2014,北海(4505),292402,29004,9.92
2015,北海(4505),284683,27819,9.77
2016,北海(4505),282177,27306,9.68
2017,北海(4505),280660,26798,9.55
2018,北海(4505),276995,26206,9.46
2019,北海(4505),271097,25426,9.38
2020,北海(4505),427700,36666,8.57
2000,十堰(4203),239972,9442,3.93
2001,十堰(4203),249220,10966,4.4
2002,十堰(4203),259183,12671,4.89
2003,十堰(4203),268649,14426,5.37
2004,十堰(4203),278883,16319,5.85
2005,十堰(4203),294234,18516,6.29
2006,十堰(4203),326901,22295,6.82
2007,十堰(4203),360572,26405,7.32
2008,十堰(4203),393707,30702,7.8
2009,十堰(4203),427712,35380,8.27
2010,十堰(4203),448452,38152,8.51
2011,十堰(4203),466689,39611,8.49
2012,十堰(4203),478520,40411,8.44
2013,十堰(4203),496681,41830,8.42
2014,十堰(4203),512850,43161,8.42
2015,十堰(4203),500477,41932,8.38
2016,十堰(4203),496093,41276,8.32
2017,十堰(4203),493953,40980,8.3
2018,十堰(4203),488138,40609,8.32
2019,十堰(4203),478150,39972,8.36
2020,十堰(4203),765854,67769,8.85
2000,南京(3201),1670177,216126,12.94
2001,南京(3201),1859072,278338,14.97
2002,南京(3201),2043317,345724,16.92
2003,南京(3201),2226568,418926,18.81
2004,南京(3201),2408521,496187,20.6
2005,南京(3201),2629180,580116,22.06
2006,南京(3201),3000965,695753,23.18
2007,南京(3201),3392142,829360,24.45
2008,南京(3201),3802443,980929,25.8
2009,南京(3201),4236550,1155084,27.26
2010,南京(3201),4525745,1270540,28.07
2011,南京(3201),4609775,1222008,26.51
2012,南京(3201),4712054,1235830,26.23
2013,南京(3201),4866848,1258115,25.85
2014,南京(3201),4987975,1261548,25.29
2015,南京(3201),4854103,1216107,25.05
2016,南京(3201),4786177,1177646,24.61
2017,南京(3201),4757543,1163580,24.46
2018,南京(3201),4690237,1140645,24.32
2019,南京(3201),4587030,1111048,24.22
2020,南京(3201),7298922,1760718,24.12
2000,南充(5113),104925,996,0.95
2001,南充(5113),120193,1292,1.07
2002,南充(5113),134394,1848,1.38
2003,南充(5113),147316,2480,1.68
2004,南充(5113),158613,2813,1.77
2005,南充(5113),173376,3449,1.99
2006,南充(5113),198290,4532,2.29
2007,南充(5113),223592,5680,2.54
2008,南充(5113),248835,6673,2.68
2009,南充(5113),274227,7989,2.91
2010,南充(5113),292062,9089,3.11
2011,南充(5113),304298,9645,3.17
2012,南充(5113),311958,9833,3.15
2013,南充(5113),324222,10445,3.22
2014,南充(5113),334879,10897,3.25
2015,南充(5113),327002,10717,3.28
2016,南充(5113),324517,10726,3.31
2017,南充(5113),323144,10869,3.36
2018,南充(5113),319351,10869,3.4
2019,南充(5113),312863,10741,3.43
2020,南充(5113),498793,17446,3.5
2000,南宁(4501),126565,1212,0.96
2001,南宁(4501),328349,9413,2.87
2002,南宁(4501),510276,23894,4.68
2003,南宁(4501),678917,43884,6.46
2004,南宁(4501),838452,68830,8.21
2005,南宁(4501),1009623,100310,9.94
2006,南宁(4501),1246698,145210,11.65
2007,南宁(4501),1497283,199193,13.3
2008,南宁(4501),1761107,263195,14.94
2009,南宁(4501),2037900,337274,16.55
2010,南宁(4501),2297662,441595,19.22
2011,南宁(4501),2373005,441148,18.59
2012,南宁(4501),2420181,438011,18.1
2013,南宁(4501),2499040,441271,17.66
2014,南宁(4501),2567035,441960,17.22
2015,南宁(4501),2493210,418624,16.79
2016,南宁(4501),2458152,400413,16.29
2017,南宁(4501),2434022,384655,15.8
2018,南宁(4501),2392264,368127,15.39
2019,南宁(4501),2332513,350302,15.02
2020,南宁(4501),3700163,542111,14.65
2000,南平(3507),297092,16330,5.5
2001,南平(3507),285380,16307,5.71
2002,南平(3507),275978,16235,5.88
2003,南平(3507),269970,16343,6.05
2004,南平(3507),265459,16631,6.26
2005,南平(3507),267026,17256,6.46
2006,南平(3507),284130,18956,6.67
2007,南平(3507),301270,20801,6.9
2008,南平(3507),317327,22476,7.08
2009,南平(3507),333460,24330,7.3
2010,南平(3507),343029,28299,8.25
2011,南平(3507),356867,29278,8.2
2012,南平(3507),366211,30138,8.23
2013,南平(3507),380319,31380,8.25
2014,南平(3507),392398,32111,8.18
2015,南平(3507),382967,31146,8.13
2016,南平(3507),379827,30858,8.12
2017,南平(3507),378041,30554,8.08
2018,南平(3507),373521,30338,8.12
2019,南平(3507),365765,29690,8.12
2020,南平(3507),582787,47357,8.13
2000,南昌(3601),652977,49790,7.63
2001,南昌(3601),716393,63661,8.89
2002,南昌(3601),777639,78708,10.12
2003,南昌(3601),837616,95140,11.36
2004,南昌(3601),896784,112981,12.6
2005,南昌(3601),973154,134276,13.8
2006,南昌(3601),1108986,166291,14.99
2007,南昌(3601),1248292,201725,16.16
2008,南昌(3601),1392297,240959,17.31
2009,南昌(3601),1540824,284257,18.45
2010,南昌(3601),1620837,294671,18.18
2011,南昌(3601),1677256,297247,17.72
2012,南昌(3601),1713779,297551,17.36
2013,南昌(3601),1772623,302487,17.06
2014,南昌(3601),1822520,304420,16.7
2015,南昌(3601),1772159,290098,16.37
2016,南昌(3601),1749000,278919,15.95
2017,南昌(3601),1731858,267997,15.47
2018,南昌(3601),1706063,259746,15.22
2019,南昌(3601),1664350,248377,14.92
2020,南昌(3601),2643236,387105,14.65
2000,南通(3206),548995,21086,3.84
2001,南通(3206),567700,24542,4.32
2002,南通(3206),587618,28294,4.82
2003,南通(3206),607639,32203,5.3
2004,南通(3206),629793,36628,5.82
2005,南通(3206),663457,41819,6.3
2006,南通(3206),736405,50404,6.84
2007,南通(3206),810699,59989,7.4
2008,南通(3206),884793,70022,7.91
2009,南通(3206),959703,80675,8.41
2010,南通(3206),1006349,87676,8.71
2011,南通(3206),1046216,89935,8.6
2012,南通(3206),1071653,90616,8.46
2013,南通(3206),1111444,92983,8.37
2014,南通(3206),1147255,95447,8.32
2015,南通(3206),1119563,92620,8.27
2016,南通(3206),1110123,91651,8.26
2017,南通(3206),1105471,91234,8.25
2018,南通(3206),1092010,90103,8.25
2019,南通(3206),1068848,87739,8.21
2020,南通(3206),1703349,140019,8.22
2000,南阳(4113),265101,3612,1.36
2001,南阳(4113),253795,3504,1.38
2002,南阳(4113),245595,3624,1.48
2003,南阳(4113),239649,3624,1.51
2004,南阳(4113),235434,3665,1.56
2005,南阳(4113),236660,3992,1.69
2006,南阳(4113),251876,4532,1.8
2007,南阳(4113),266090,4897,1.84
2008,南阳(4113),280239,5313,1.9
2009,南阳(4113),294230,5808,1.97
2010,南阳(4113),299380,5900,1.97
2011,南阳(4113),311686,6084,1.95
2012,南阳(4113),319777,6332,1.98
2013,南阳(4113),332056,6569,1.98
2014,南阳(4113),343057,6980,2.03
2015,南阳(4113),334770,6777,2.02
2016,南阳(4113),332170,6685,2.01
2017,南阳(4113),330983,6813,2.06
2018,南阳(4113),326966,6777,2.07
2019,南阳(4113),320070,6624,2.07
2020,南阳(4113),510044,10660,2.09
2000,厦门(3502),2151489,784983,36.49
2001,厦门(3502),2433701,968995,39.82
2002,厦门(3502),2727153,1170825,42.93
2003,厦门(3502),3028241,1384398,45.72
2004,厦门(3502),3337241,1609242,48.22
2005,厦门(3502),3692647,1850563,50.11
2006,厦门(3502),4281328,2218235,51.81
2007,厦门(3502),4879734,2594310,53.16
2008,厦门(3502),5380245,2872077,53.38
2009,厦门(3502),6279255,3547375,56.49
2010,厦门(3502),6519931,3640835,55.84
2011,厦门(3502),6213532,3217359,51.78
2012,厦门(3502),6068023,2993875,49.34
2013,厦门(3502),6086796,2895415,47.57
2014,厦门(3502),6001292,2705803,45.09
2015,厦门(3502),5724673,2507148,43.8
2016,厦门(3502),5574954,2383793,42.76
2017,厦门(3502),5442179,2263822,41.6
2018,厦门(3502),5240021,2100606,40.09
2019,厦门(3502),5026241,1951927,38.83
2020,厦门(3502),7949256,3051272,38.38
2000,双鸭山(2305),247684,21002,8.48
2001,双鸭山(2305),224353,18911,8.43
2002,双鸭山(2305),205930,17259,8.38
2003,双鸭山(2305),190356,15791,8.3
2004,双鸭山(2305),177110,14582,8.23
2005,双鸭山(2305),169462,13821,8.16
2006,双鸭山(2305),171275,13863,8.09
2007,双鸭山(2305),172434,13838,8.03
2008,双鸭山(2305),173346,13848,7.99
2009,双鸭山(2305),173498,13777,7.94
2010,双鸭山(2305),168645,13358,7.92
2011,双鸭山(2305),175517,13943,7.94
2012,双鸭山(2305),180458,14582,8.08
2013,双鸭山(2305),187391,15234,8.13
2014,双鸭山(2305),193965,16085,8.29
2015,双鸭山(2305),189272,15768,8.33
2016,双鸭山(2305),187985,15809,8.41
2017,双鸭山(2305),187555,16149,8.61
2018,双鸭山(2305),185558,16201,8.73
2019,双鸭山(2305),181918,16040,8.82
2020,双鸭山(2305),290208,25982,8.95
2000,台州(3310),1116679,118395,10.6
2001,台州(3310),1211068,146039,12.06
2002,台州(3310),1303764,175398,13.45
2003,台州(3310),1395072,206465,14.8
2004,台州(3310),1486031,239067,16.09
2005,台州(3310),1605494,278281,17.33
2006,台州(3310),1828837,344299,18.83
2007,台州(3310),2059791,417410,20.26
2008,台州(3310),2300339,499400,21.71
2009,台州(3310),2545536,585724,23.01
2010,台州(3310),2710669,646774,23.86
2011,台州(3310),2812588,664733,23.63
2012,台州(3310),2873475,669863,23.31
2013,台州(3310),2973695,686045,23.07
2014,台州(3310),3062137,699496,22.84
2015,台州(3310),2978247,671911,22.56
2016,台州(3310),2946483,658711,22.36
2017,台州(3310),2927997,649312,22.18
2018,台州(3310),2884270,633706,21.97
2019,台州(3310),2816862,613186,21.77
2020,台州(3310),4473398,962231,21.51
2000,合肥(3401),670013,50820,7.58
2001,合肥(3401),846944,86844,10.25
2002,合肥(3401),1011881,127100,12.56
2003,合肥(3401),1171327,173424,14.81
2004,合肥(3401),1342414,240532,17.92
2005,合肥(3401),1519201,297750,19.6
2006,合肥(3401),1805361,393928,21.82
2007,合肥(3401),2086502,482220,23.11
2008,合肥(3401),2396056,597021,24.92
2009,合肥(3401),2722634,727091,26.71
2010,合肥(3401),2881282,744869,25.85
2011,合肥(3401),2766438,542829,19.62
2012,合肥(3401),2834101,552375,19.49
2013,合肥(3401),2938241,569688,19.39
2014,合肥(3401),3026259,580216,19.17
2015,合肥(3401),2945976,558064,18.94
2016,合肥(3401),2915434,546804,18.76
2017,合肥(3401),2895511,536447,18.53
2018,合肥(3401),2849844,519961,18.25
2019,合肥(3401),2783326,501560,18.02
2020,合肥(3401),4314590,679522,15.75
2000,吉安(3608),151771,2620,1.73
2001,吉安(3608),139770,2492,1.78
2002,吉安(3608),130700,2272,1.74
2003,吉安(3608),122807,2044,1.66
2004,吉安(3608),116639,1993,1.71
2005,吉安(3608),113305,1896,1.67
2006,吉安(3608),117085,1993,1.7
2007,吉安(3608),119833,1996,1.67
2008,吉安(3608),122653,2044,1.67
2009,吉安(3608),124977,2048,1.64
2010,吉安(3608),124094,2084,1.68
2011,吉安(3608),129094,2148,1.66
2012,吉安(3608),132518,2284,1.72
2013,吉安(3608),137652,2480,1.8
2014,吉安(3608),142226,2533,1.78
2015,吉安(3608),138854,2516,1.81
2016,吉安(3608),137692,2516,1.83
2017,吉安(3608),137205,2516,1.83
2018,吉安(3608),135585,2516,1.86
2019,吉安(3608),132719,2480,1.87
2020,吉安(3608),211478,3897,1.84
2000,吉林(2202),262987,9625,3.66
2001,吉林(2202),262858,10422,3.96
2002,吉林(2202),264032,11181,4.23
2003,吉林(2202),266156,12026,4.52
2004,吉林(2202),269633,13058,4.84
2005,吉林(2202),278816,14363,5.15
2006,吉林(2202),304010,16491,5.42
2007,吉林(2202),328993,18835,5.73
2008,吉林(2202),354356,21419,6.04
2009,吉林(2202),379424,24056,6.34
2010,吉林(2202),393869,26160,6.64
2011,吉林(2202),410103,27293,6.66
2012,吉林(2202),420813,28000,6.65
2013,吉林(2202),437009,29193,6.68
2014,吉林(2202),451089,30120,6.68
2015,吉林(2202),440441,29409,6.68
2016,吉林(2202),437184,29365,6.72
2017,吉林(2202),435435,29368,6.74
2018,吉林(2202),430549,29361,6.82
2019,吉林(2202),421883,29009,6.88
2020,吉林(2202),673123,47404,7.04
2000,吐鲁番(6504),85892,7040,8.2
2001,吐鲁番(6504),84461,7345,8.7
2002,吐鲁番(6504),83929,7746,9.23
2003,吐鲁番(6504),83354,8008,9.61
2004,吐鲁番(6504),83632,8453,10.11
2005,吐鲁番(6504),85514,9028,10.56
2006,吐鲁番(6504),92269,9961,10.8
2007,吐鲁番(6504),99284,11251,11.33
2008,吐鲁番(6504),106116,12461,11.74
2009,吐鲁番(6504),113006,13635,12.07
2010,吐鲁番(6504),116548,14502,12.44
2011,吐鲁番(6504),121384,14879,12.26
2012,吐鲁番(6504),124090,15018,12.1
2013,吐鲁番(6504),128446,15253,11.88
2014,吐鲁番(6504),132636,15638,11.79
2015,吐鲁番(6504),128888,14767,11.46
2016,吐鲁番(6504),127476,14267,11.19
2017,吐鲁番(6504),126654,13834,10.92
2018,吐鲁番(6504),124918,13470,10.78
2019,吐鲁番(6504),121894,12819,10.52
2020,吐鲁番(6504),193487,19779,10.22
2000,吕梁(1411),0,0,nan
2001,吕梁(1411),0,0,nan
2002,吕梁(1411),0,0,nan
2003,吕梁(1411),0,0,nan
2004,吕梁(1411),0,0,nan
2005,吕梁(1411),0,0,nan
2006,吕梁(1411),0,0,nan
2007,吕梁(1411),0,0,nan
2008,吕梁(1411),0,0,nan
2009,吕梁(1411),0,0,nan
2010,吕梁(1411),0,0,nan
2011,吕梁(1411),0,0,nan
2012,吕梁(1411),0,0,nan
2013,吕梁(1411),0,0,nan
2014,吕梁(1411),0,0,nan
2015,吕梁(1411),0,0,nan
2016,吕梁(1411),0,0,nan
2017,吕梁(1411),0,0,nan
2018,吕梁(1411),0,0,nan
2019,吕梁(1411),0,0,nan
2020,吕梁(1411),0,0,nan
2000,吴忠(6403),170435,13735,8.06
2001,吴忠(6403),161512,13155,8.14
2002,吴忠(6403),155045,13350,8.61
2003,吴忠(6403),149284,12551,8.41
2004,吴忠(6403),143838,11156,7.76
2005,吴忠(6403),143011,11177,7.82
2006,吴忠(6403),151001,11978,7.93
2007,吴忠(6403),158087,12678,8.02
2008,吴忠(6403),164943,13199,8.0
2009,吴忠(6403),171769,13852,8.06
2010,吴忠(6403),174770,15119,8.65
2011,吴忠(6403),181784,15617,8.59
2012,吴忠(6403),186098,15728,8.45
2013,吴忠(6403),193240,16201,8.38
2014,吴忠(6403),199234,16424,8.24
2015,吴忠(6403),194355,15902,8.18
2016,吴忠(6403),192722,15690,8.14
2017,吴忠(6403),191881,15545,8.1
2018,吴忠(6403),189171,15101,7.98
2019,吴忠(6403),185167,14793,7.99
2020,吴忠(6403),295041,23515,7.97
2000,周口(4116),67396,164,0.24
2001,周口(4116),70385,204,0.29
2002,周口(4116),72781,228,0.31
2003,周口(4116),75749,348,0.46
2004,周口(4116),78501,420,0.54
2005,周口(4116),83053,548,0.66
2006,周口(4116),92138,628,0.68
2007,周口(4116),101015,684,0.68
2008,周口(4116),110097,800,0.73
2009,周口(4116),119276,840,0.7
2010,周口(4116),125208,1100,0.88
2011,周口(4116),130382,1196,0.92
2012,周口(4116),133733,1212,0.91
2013,周口(4116),138806,1212,0.87
2014,周口(4116),143332,1252,0.87
2015,周口(4116),139936,1212,0.87
2016,周口(4116),138804,1212,0.87
2017,周口(4116),138220,1212,0.88
2018,周口(4116),136597,1212,0.89
2019,周口(4116),133730,1212,0.91
2020,周口(4116),213020,1980,0.93
2000,呼伦贝尔(1507),0,0,nan
2001,呼伦贝尔(1507),0,0,nan
2002,呼伦贝尔(1507),0,0,nan
2003,呼伦贝尔(1507),0,0,nan
2004,呼伦贝尔(1507),0,0,nan
2005,呼伦贝尔(1507),0,0,nan
2006,呼伦贝尔(1507),0,0,nan
2007,呼伦贝尔(1507),0,0,nan
2008,呼伦贝尔(1507),0,0,nan
2009,呼伦贝尔(1507),0,0,nan
2010,呼伦贝尔(1507),0,0,nan
2011,呼伦贝尔(1507),0,0,nan
2012,呼伦贝尔(1507),0,0,nan
2013,呼伦贝尔(1507),0,0,nan
2014,呼伦贝尔(1507),0,0,nan
2015,呼伦贝尔(1507),0,0,nan
2016,呼伦贝尔(1507),0,0,nan
2017,呼伦贝尔(1507),0,0,nan
2018,呼伦贝尔(1507),0,0,nan
2019,呼伦贝尔(1507),0,0,nan
2020,呼伦贝尔(1507),0,0,nan
2000,呼和浩特(1501),768922,113173,14.72
2001,呼和浩特(1501),881978,154462,17.51
2002,呼和浩特(1501),992832,200333,20.18
2003,呼和浩特(1501),1105646,251975,22.79
2004,呼和浩特(1501),1219089,308551,25.31
2005,呼和浩特(1501),1359075,376251,27.68
2006,呼和浩特(1501),1588797,477087,30.03
2007,呼和浩特(1501),1835204,593175,32.32
2008,呼和浩特(1501),2092310,719648,34.39
2009,呼和浩特(1501),2365015,860575,36.39
2010,呼和浩特(1501),2583633,989982,38.32
2011,呼和浩特(1501),2651952,993196,37.45
2012,呼和浩特(1501),2679769,977649,36.48
2013,呼和浩特(1501),2741214,974614,35.55
2014,呼和浩特(1501),2801068,976605,34.87
2015,呼和浩特(1501),2709820,928359,34.26
2016,呼和浩特(1501),2662071,895030,33.62
2017,呼和浩特(1501),2629345,869580,33.07
2018,呼和浩特(1501),2583877,845760,32.73
2019,呼和浩特(1501),2515315,813097,32.33
2020,呼和浩特(1501),3980622,1268957,31.88
2000,咸宁(4212),85810,1492,1.74
2001,咸宁(4212),84866,1645,1.94
2002,咸宁(4212),84424,1700,2.01
2003,咸宁(4212),84079,1812,2.16
2004,咸宁(4212),84466,1897,2.25
2005,咸宁(4212),86469,2049,2.37
2006,咸宁(4212),93975,2480,2.64
2007,咸宁(4212),100895,2676,2.65
2008,咸宁(4212),108012,3113,2.88
2009,咸宁(4212),114931,3449,3.0
2010,咸宁(4212),118957,3841,3.23
2011,咸宁(4212),123853,3909,3.16
2012,咸宁(4212),127079,3993,3.14
2013,咸宁(4212),131933,4202,3.18
2014,咸宁(4212),136175,4265,3.13
2015,咸宁(4212),132744,4090,3.08
2016,咸宁(4212),131795,4065,3.08
2017,咸宁(4212),131229,4021,3.06
2018,咸宁(4212),129623,3984,3.07
2019,咸宁(4212),126971,3893,3.07
2020,咸宁(4212),202045,5989,2.96
2000,咸阳(6104),164389,2824,1.72
2001,咸阳(6104),174029,3496,2.01
2002,咸阳(6104),183348,4125,2.25
2003,咸阳(6104),192803,4989,2.59
2004,咸阳(6104),201817,5796,2.87
2005,咸阳(6104),214315,6637,3.1
2006,咸阳(6104),239932,8105,3.38
2007,咸阳(6104),265121,9645,3.64
2008,咸阳(6104),290415,11261,3.88
2009,咸阳(6104),316888,13478,4.25
2010,咸阳(6104),333833,15026,4.5
2011,咸阳(6104),347634,15734,4.53
2012,咸阳(6104),356764,16303,4.57
2013,咸阳(6104),370502,17003,4.59
2014,咸阳(6104),382609,17610,4.6
2015,咸阳(6104),373820,17386,4.65
